#Flux[Crab],Time[Hours]
0.00100638985859,2204.28176611
0.00103895684899,2052.87275478
0.00107943133407,1946.18097584
0.00112148257755,1780.54058133
0.00117261728931,1658.23775544
0.00124973752568,1464.07361466
0.00129842336174,1363.50845919
0.0013838175628,1161.77335765
0.00145615917847,1062.89427103
0.00157182384463,905.635926027
0.00168590322632,785.495113833
0.00177403692728,731.540560283
0.00189071109574,634.495075956
0.00206705816344,540.619656473
0.00221708051996,460.633382418
0.00239318618339,392.481313725
0.00259978694949,334.412544775
0.00273569560783,300.555683454
0.00286043138989,270.126585463
0.00302919897243,242.778214458
0.00320792396803,218.198669021
0.00339719387149,196.107625509
0.00357478844757,173.145255679
0.00388339545736,147.527903986
0.0041125186818,132.591766379
0.00438298920589,115.002267061
0.00464158883361,107.102923237
0.00494685503702,94.5621720708
0.00520546100903,82.0176430511
0.00558326147015,73.7139474807
0.00587513676235,66.2509412738
0.00626153046465,58.4935753317
0.00675889218276,48.9604583218
0.00720340836674,44.0035645882
0.00757997982647,39.5485206396
0.00802720428201,35.5445178003
0.00828696632411,32.5193068749
0.00866481582696,29.7515730995
0.00923468005354,26.7394406294
0.00953351626906,24.9027460963
0.0102254370877,21.986867307
0.010828745492,19.7608553677
0.0113224890335,18.0789995077
0.0117635775289,16.540287205
0.0125372399061,14.8657022683
0.0132769463986,13.3606569941
0.0138823172183,12.2235250815
0.0147953240407,10.7922645539
0.0153717032451,10.050959095
0.0166987231355,8.56389002704
0.0176839602382,7.69685784912
0.0187273270637,6.79562774141
0.0197063326303,6.21724861122
0.0212716329207,5.48926691461
0.0228154794143,4.76106591627
0.0241616096933,4.20358960156
0.0262474511993,3.5185004904
0.0276195851266,3.21903922933
0.0292491612209,2.8931346947
0.031172808644,2.55437566555
0.0332229697603,2.33697152985
0.0349597617874,2.06333400856
0.0372589817605,1.85443630278
0.0397094159357,1.58006697759
0.0420523010526,1.44558672073
0.0445334181364,1.34629140398
0.0456826235382,1.23170789811
0.0480707669495,1.14710361658
0.0502625841578,1.03096763821
0.0525543386664,0.943221488988
0.0560107119068,0.84772710743
0.0585645559579,0.789497925849
0.0620199083799,0.722303379442
0.0644360085851,0.660827793045
0.069554246709,0.593923739067
0.0736579990708,0.524380820927
0.0770164824097,0.48836184056
0.0820816723755,0.423576217019
0.0863726432063,0.394481362981
0.0897374492247,0.360906865337
0.0956392667727,0.324367644902
0.101929232754,0.286387225712
0.108632874765,0.262012671836
0.114311858677,0.235485776139
0.121829876397,0.204246454032
0.130672010341,0.190217052642
0.13838175628,0.174027588233
0.145615917847,0.162073878193
0.150328079996,0.153650584375
0.157182384463,0.140573309585
0.165399383549,0.126341274566
0.176277305673,0.119775073467
0.18314451405,0.107648710041
0.190279247228,0.103885824605
0.200226445865,0.0950440523422
0.20802663728,0.0885156101896
0.223124735096,0.0781512596366
0.234788992198,0.0740895870863
0.247063019855,0.0677837868621
0.258328015461,0.0631278139684
0.277076872324,0.0567365775257
0.293424614165,0.0528394218891
0.30876392712,0.0483422333974
0.326981228796,0.0434479304842
0.348486002674,0.0404635533051
0.362061919256,0.0376841687931
0.383423842166,0.033868918149
0.406046134438,0.0315425098419
0.427272945106,0.0288579117296
0.455373665452,0.025936256036
0.494685503703,0.0228993628935
0.5272197869,0.020580967349
0.547758608524,0.0195113345557
0.56909755792,0.0184972926535
0.61430173616,0.0166245750118
0.654702893063,0.0149414565418
0.684554488084,0.0139151489265
0.734237888039,0.0125063403311
0.757997982647,0.0116472974202
0.782526958983,0.0114419197187
0.839320976926,0.0108472609574
0.877590350959,0.0102835077655
0.905989361833,0.00974905392037
0.953351626906,0.00924237667826
1.02907761847,0.0087620324352
1.11081862656,0.00801629166019
1.18387451259,0.00759966943372
1.27791124449,0.00707765883911
1.32769463986,0.00683025764541
1.41501394292,0.00636109686337
1.56682591791,0.00571708162613
1.64873463292,0.00551723972205
1.76839602382,0.00523049807212
1.79106782899,0.00504766480817
1.88469920354,0.00478532787732
1.98322533091,0.00453662510562
2.11365732068,0.00430084789936
2.16820122304,0.00415051077116
2.31079863512,0.00386541802937
2.43159989625,0.00366452475678
2.54247024084,0.00347407229724
2.6753825625,0.0033526353005
2.83323212639,0.00317839234095
2.9436059225,0.00306729090514
3.07782150766,0.00290787784729
3.17742046789,0.00280623230787
3.40803038234,0.00261347616125
3.58619145701,0.00252212150052
3.74970613851,0.00234888052528
4.0734135735,0.00218753922875
4.31374800833,0.00207384857195
4.53925714258,0.0020013567178
4.71609229762,0.00183102028948
5.1889092098,0.0017052500835
5.49505871802,0.00167518127612
5.9694402554,0.00153260579579
6.16261261484,0.00147903320745
6.56791291685,0.00140216498284
6.82377810854,0.00135315198314
7.41286632688,0.00121615509186
8.20816723755,0.00107375469862
8.91676803565,0.000982366922204
9.44286399121,0.000931311407798
9.93650712461,0.000914889521292